audit_family,target_definition,model_name,decision_mode,split,rows,positive_rows,positive_share,feature_count,categorical_features,fit_seconds,poisson_alpha,poisson_max_iter,poisson_n_iter,count_mae,mean_observed_count,mean_predicted_count,poisson_deviance,threshold,alert_rate,precision,recall,f1,pr_auc,roc_auc,tn,fp,fn,tp,precision_at_1pct,precision_at_5pct,precision_at_10pct
count_baseline,T2_min_count_3,poisson_regressor_no_nta,formula_threshold,test,122616,13562,0.1106054674756964,18.0,"complaint_category, boroname",22.31152987480164,10.0,500.0,156.0,9.069097223837929,28.89706074248059,28.378647324900108,6.967971788696341,,0.0110752267240816,0.3755522827687776,0.0376050729980828,0.0683646112600536,0.1409956191043445,0.6152627582935383,108206.0,848.0,13052.0,510.0,0.1524042379788101,0.145979448703311,0.1460610014679497
count_baseline,T2_min_count_3,poisson_regressor_nta_fe,formula_threshold,test,122616,13562,0.1106054674756964,19.0,"complaint_category, boroname, nta2020",19.799697399139404,10.0,500.0,199.0,9.069611230594438,28.89706074248059,28.37848808035432,6.965752019042805,,0.0111078488941084,0.3751835535976505,0.037678808435334,0.0684803001876172,0.1409991998613877,0.6152691687478139,108203.0,851.0,13051.0,511.0,0.1524042379788101,0.145979448703311,0.145979448703311
,,hist_gradient_boosting_poisson_count,formula_threshold,test,122616,13562,0.1106054674756964,18.0,,10.197247505187988,,,,8.021100628051366,28.89706074248059,27.65923671939905,5.6952215249564135,,0.0221341423631499,0.5128960943257185,0.1026397286535909,0.1710493978864586,0.1527955526634712,0.6323306644730042,107732.0,1322.0,12170.0,1392.0,0.2021189894050529,0.1755015495025281,0.1622084488664165
,,hurdle_hgb_occurrence_poisson_positive_count,formula_threshold,test,122616,13562,0.1106054674756964,18.0,,17.041287183761597,,,,7.937666128564454,28.89706074248059,27.560922164568805,6.3092577863758885,,0.0246786716252365,0.4966953073364177,0.1108243621884677,0.1812153363877501,0.1517217797265457,0.632902570166063,107531.0,1523.0,12059.0,1503.0,0.1898940505297473,0.1722394389169793,0.1612298156907519
,,No-shortcut LightGBM classifier,validation_score_threshold,,122616,13562,,,,,,,,,,,,,0.24112676975272396,0.26347831969153757,0.5743990561864032,0.36125023186792804,0.3165151742185692,,,,,,,0.41803947153808513,
