transformed_feature
num__complaint_count
num__diff_1w_count
num__diff_4w_count
num__history_weeks_available
num__lag_12w_count
num__lag_1w_count
num__lag_2w_count
num__lag_4w_count
num__lag_52w_count
num__lag_8w_count
num__pct_change_1w
num__ratio_to_12w_mean
num__ratio_to_8w_mean
num__rolling_12w_mean
num__rolling_12w_std
num__rolling_12w_sum
num__rolling_4w_mean
num__rolling_4w_std
num__rolling_4w_sum
num__rolling_8w_mean
num__rolling_8w_std
num__rolling_8w_sum
num__is_covid_period
num__is_year_end
num__is_year_start
num__iso_year
num__month
num__quarter
num__week_of_year
num__year
num__cold_day_0c_count
num__heavy_rain_day_25mm_count
num__heavy_snow_day_25mm_count
num__hot_day_30c_count
num__hot_day_35c_count
num__ice_day_tmax_0c_count
num__moderate_rain_day_10mm_count
num__rain_day_count
num__snow_day_count
num__very_cold_day_minus5c_count
num__very_heavy_rain_day_50mm_count
num__weather_awnd_max
num__weather_awnd_mean
num__weather_prcp_max
num__weather_prcp_mean
num__weather_prcp_station_max
num__weather_prcp_sum
num__weather_snow_max
num__weather_snow_mean
num__weather_snow_sum
num__weather_snwd_max
num__weather_snwd_mean
num__weather_tavg_mean
num__weather_tmax_max
num__weather_tmax_mean
num__weather_tmax_min
num__weather_tmax_station_max
num__weather_tmin_max
num__weather_tmin_mean
num__weather_tmin_min
cat__complaint_category_environment
cat__complaint_category_housing
cat__complaint_category_infrastructure
cat__complaint_category_noise
cat__complaint_category_other
cat__complaint_category_parking_traffic
cat__complaint_category_public_safety
cat__complaint_category_sanitation
cat__complaint_category_water_sewer
cat__boroname_Bronx
cat__boroname_Brooklyn
cat__boroname_Manhattan
cat__boroname_Queens
cat__boroname_Staten Island
cat__period_type_covid_disruption
cat__period_type_post_covid
cat__period_type_pre_covid
