transformed_feature
num__complaint_count
num__diff_1w_count
num__diff_4w_count
num__history_weeks_available
num__lag_12w_count
num__lag_1w_count
num__lag_2w_count
num__lag_4w_count
num__lag_52w_count
num__lag_8w_count
num__pct_change_1w
num__ratio_to_12w_mean
num__ratio_to_8w_mean
num__rolling_12w_mean
num__rolling_12w_std
num__rolling_12w_sum
num__rolling_4w_mean
num__rolling_4w_std
num__rolling_4w_sum
num__rolling_8w_mean
num__rolling_8w_std
num__rolling_8w_sum
cat__complaint_category_environment
cat__complaint_category_housing
cat__complaint_category_infrastructure
cat__complaint_category_noise
cat__complaint_category_other
cat__complaint_category_parking_traffic
cat__complaint_category_public_safety
cat__complaint_category_sanitation
cat__complaint_category_water_sewer
cat__boroname_Bronx
cat__boroname_Brooklyn
cat__boroname_Manhattan
cat__boroname_Queens
cat__boroname_Staten Island
