transformed_feature
num__complaint_count
num__diff_1w_count
num__diff_4w_count
num__history_weeks_available
num__lag_12w_count
num__lag_1w_count
num__lag_2w_count
num__lag_4w_count
num__lag_52w_count
num__lag_8w_count
num__pct_change_1w
num__ratio_to_12w_mean
num__ratio_to_8w_mean
num__rolling_12w_mean
num__rolling_12w_std
num__rolling_12w_sum
num__rolling_4w_mean
num__rolling_4w_std
num__rolling_4w_sum
num__rolling_8w_mean
num__rolling_8w_std
num__rolling_8w_sum
num__is_year_end
num__is_year_start
num__iso_year
num__month
num__quarter
num__week_of_year
num__year
num__cold_day_0c_count
num__heavy_rain_day_25mm_count
num__heavy_snow_day_25mm_count
num__hot_day_30c_count
num__hot_day_35c_count
num__ice_day_tmax_0c_count
num__moderate_rain_day_10mm_count
num__rain_day_count
num__snow_day_count
num__very_cold_day_minus5c_count
num__very_heavy_rain_day_50mm_count
num__weather_awnd_max
num__weather_awnd_mean
num__weather_prcp_max
num__weather_prcp_mean
num__weather_prcp_station_max
num__weather_prcp_sum
num__weather_snow_max
num__weather_snow_mean
num__weather_snow_sum
num__weather_snwd_max
num__weather_snwd_mean
num__weather_tavg_mean
num__weather_tmax_max
num__weather_tmax_mean
num__weather_tmax_min
num__weather_tmax_station_max
num__weather_tmin_max
num__weather_tmin_mean
num__weather_tmin_min
num__poi_accommodation_count
num__poi_accommodation_density_per_km2
num__poi_accommodation_share
num__poi_commercial_activity_count
num__poi_commercial_activity_density_per_km2
num__poi_commercial_activity_share
num__poi_culture_tourism_count
num__poi_culture_tourism_density_per_km2
num__poi_culture_tourism_share
num__poi_daily_activity_count
num__poi_daily_activity_density_per_km2
num__poi_daily_activity_share
num__poi_density_per_km2
num__poi_dominant_semantic_category_share
num__poi_education_count
num__poi_education_density_per_km2
num__poi_education_share
num__poi_emergency_safety_count
num__poi_emergency_safety_density_per_km2
num__poi_emergency_safety_share
num__poi_employment_industrial_count
num__poi_employment_industrial_density_per_km2
num__poi_employment_industrial_share
num__poi_finance_count
num__poi_finance_density_per_km2
num__poi_finance_share
num__poi_food_drink_count
num__poi_food_drink_density_per_km2
num__poi_food_drink_share
num__poi_healthcare_count
num__poi_healthcare_density_per_km2
num__poi_healthcare_share
num__poi_industrial_logistics_count
num__poi_industrial_logistics_density_per_km2
num__poi_industrial_logistics_share
num__poi_log1p_density_per_km2
num__poi_log1p_total_count
num__poi_mixed_use_index
num__poi_mobility_access_count
num__poi_mobility_access_density_per_km2
num__poi_mobility_access_share
num__poi_named_count
num__poi_named_share
num__poi_office_work_count
num__poi_office_work_density_per_km2
num__poi_office_work_share
num__poi_osm_tag_amenity_count
num__poi_osm_tag_amenity_share
num__poi_osm_tag_highway_count
num__poi_osm_tag_highway_share
num__poi_osm_tag_leisure_count
num__poi_osm_tag_leisure_share
num__poi_osm_tag_public_transport_count
num__poi_osm_tag_public_transport_share
num__poi_osm_tag_railway_count
num__poi_osm_tag_railway_share
num__poi_osm_tag_shop_count
num__poi_osm_tag_shop_share
num__poi_osm_tag_tourism_count
num__poi_osm_tag_tourism_share
num__poi_other_count
num__poi_other_density_per_km2
num__poi_other_share
num__poi_public_service_count
num__poi_public_service_density_per_km2
num__poi_public_service_share
num__poi_recreation_environment_count
num__poi_recreation_environment_density_per_km2
num__poi_recreation_environment_share
num__poi_recreation_green_count
num__poi_recreation_green_density_per_km2
num__poi_recreation_green_share
num__poi_religion_count
num__poi_religion_density_per_km2
num__poi_religion_share
num__poi_retail_count
num__poi_retail_density_per_km2
num__poi_retail_share
num__poi_safety_public_service_count
num__poi_safety_public_service_density_per_km2
num__poi_safety_public_service_share
num__poi_semantic_entropy
num__poi_semantic_entropy_norm
num__poi_semantic_hhi
num__poi_social_infrastructure_count
num__poi_social_infrastructure_density_per_km2
num__poi_social_infrastructure_share
num__poi_total_count
num__poi_transport_count
num__poi_transport_density_per_km2
num__poi_transport_share
num__poi_unique_raw_type_count
num__poi_unique_semantic_category_count
num__poi_with_any_detected_tag_count
num__poi_with_any_detected_tag_share
num__poi_with_valid_coordinate_count
num__poi_with_valid_coordinate_share
num__pluto_avg_num_floors
num__pluto_building_area_to_lot_area_ratio
num__pluto_commercial_area_ratio
num__pluto_lot_area_commercial
num__pluto_lot_area_industrial
num__pluto_lot_area_mixed_use
num__pluto_lot_area_open_space
num__pluto_lot_area_parking
num__pluto_lot_area_public_facility
num__pluto_lot_area_ratio_commercial
num__pluto_lot_area_ratio_industrial
num__pluto_lot_area_ratio_mixed_use
num__pluto_lot_area_ratio_open_space
num__pluto_lot_area_ratio_parking
num__pluto_lot_area_ratio_public_facility
num__pluto_lot_area_ratio_residential
num__pluto_lot_area_ratio_transportation_utility
num__pluto_lot_area_ratio_unknown
num__pluto_lot_area_ratio_vacant
num__pluto_lot_area_residential
num__pluto_lot_area_transportation_utility
num__pluto_lot_area_unknown
num__pluto_lot_area_vacant
num__pluto_lot_count
num__pluto_lot_count_commercial
num__pluto_lot_count_industrial
num__pluto_lot_count_mixed_use
num__pluto_lot_count_open_space
num__pluto_lot_count_parking
num__pluto_lot_count_public_facility
num__pluto_lot_count_residential
num__pluto_lot_count_transportation_utility
num__pluto_lot_count_unknown
num__pluto_lot_count_vacant
num__pluto_office_area_ratio
num__pluto_parcel_count
num__pluto_parcel_density_per_km2
num__pluto_residential_area_ratio
num__pluto_retail_area_ratio
num__pluto_source_missing_flag
num__pluto_total_building_area
num__pluto_total_buildings
num__pluto_total_commercial_area
num__pluto_total_factory_area
num__pluto_total_garage_area
num__pluto_total_lot_area
num__pluto_total_office_area
num__pluto_total_other_area
num__pluto_total_residential_area
num__pluto_total_residential_units
num__pluto_total_retail_area
num__pluto_total_storage_area
num__pluto_total_units
num__osm_zero_poi_flag
cat__complaint_category_environment
cat__complaint_category_housing
cat__complaint_category_infrastructure
cat__complaint_category_noise
cat__complaint_category_other
cat__complaint_category_parking_traffic
cat__complaint_category_public_safety
cat__complaint_category_sanitation
cat__complaint_category_water_sewer
cat__boroname_Bronx
cat__boroname_Brooklyn
cat__boroname_Manhattan
cat__boroname_Queens
cat__boroname_Staten Island
cat__poi_dominant_semantic_category_food_drink
cat__poi_dominant_semantic_category_none
cat__poi_dominant_semantic_category_other
cat__poi_dominant_semantic_category_recreation_green
cat__poi_dominant_semantic_category_transport
