experiment_id,split,model_name,feature_set,rows,train_rows,positive_rows,positive_share,threshold,accuracy,balanced_accuracy,precision,recall,specificity,npv,f1,roc_auc,pr_auc,tn,fp,fn,tp,majority_class,train_positive_prevalence,threshold_multiplier,threshold_selection_split,validation_selected_f1,fit_seconds,selected_feature_count,numeric_feature_count,categorical_feature_count,class_weight,max_iter,C,sample_train
E1_main_2015_2025,test,current_week_abnormal_persistence,historical_rule,247590,954990,31570,0.12750918857789087,0.0,0.8294559554101539,0.6042547899913184,0.3207496383028835,0.3019638897687678,0.9065456902138691,0.898852062477911,0.31107340392553556,0.6389280470692817,0.23589675996550227,195832,20188,22037,9533,,,1.5,,,,,,,,,,
E1_main_2015_2025,train,current_week_abnormal_persistence,historical_rule,954990,954990,121306,0.1270233196159122,0.0,0.8309961360851946,0.6060216729050956,0.3240835812512615,0.3044284701498689,0.9076148756603222,0.8996755211695981,0.31394869397037256,0.634819259595964,0.23877569087208722,756664,77020,84377,36929,,,1.5,,,,,,,,,,
E1_main_2015_2025,validation,current_week_abnormal_persistence,historical_rule,122616,954990,15574,0.12701441899915183,0.0,0.8291332289423893,0.6026425540796103,0.3169968007623715,0.29902401438294596,0.9062610937762747,0.8988464211257818,0.30774822402114654,0.6378659380701486,0.2339301578117731,97008,10034,10917,4657,,,1.5,,,,,,,,,,
E1_main_2015_2025,test,logistic_regression,historical_calendar_weather,247590,954990,31570,0.12750918857789087,0.5,0.7235833434306717,0.6433564858390586,0.23922761352383648,0.5356667722521381,0.751046199425979,0.9171339739966082,0.33074515939761395,0.7003200323401818,0.2606407738730696,162241,53779,14659,16911,,,,,,235.91151356697083,63.0,60.0,3.0,balanced,250.0,1.0,0.0
E1_main_2015_2025,train,logistic_regression,historical_calendar_weather,954990,954990,121306,0.1270233196159122,0.5,0.6770594456486455,0.6379456548442515,0.21578546016873715,0.5855110217136827,0.6903802879748202,0.9196598486192136,0.3153508547985712,0.693721448716769,0.2639940879336491,575559,258125,50280,71026,,,,,,235.91151356697083,63.0,60.0,3.0,balanced,250.0,1.0,0.0
E1_main_2015_2025,validation,logistic_regression,historical_calendar_weather,122616,954990,15574,0.12701441899915183,0.5,0.695080576759966,0.632636343046536,0.21970086348684212,0.548927700012842,0.7163449860802302,0.9160733059352002,0.31380538119884005,0.6852748006626718,0.24514541119322034,76679,30363,7025,8549,,,,,,235.91151356697083,63.0,60.0,3.0,balanced,250.0,1.0,0.0
E1_main_2015_2025,test,logistic_regression,historical_only,247590,954990,31570,0.12750918857789087,0.5,0.6982067127105295,0.6440274736407547,0.22766115900685407,0.5713018688628445,0.716753078418665,0.9196160767846431,0.3255801359291652,0.6975968772116826,0.2597863274925288,154833,61187,13534,18036,,,,,,164.936448097229,24.0,22.0,2.0,balanced,250.0,1.0,0.0
E1_main_2015_2025,train,logistic_regression,historical_only,954990,954990,121306,0.1270233196159122,0.5,0.6939109310045132,0.6375031693358899,0.22178403389234885,0.5618848202067499,0.7131215184650299,0.917942019318659,0.3180350510461188,0.6912468942531005,0.2626857992289703,594518,239166,53146,68160,,,,,,164.936448097229,24.0,22.0,2.0,balanced,250.0,1.0,0.0
E1_main_2015_2025,validation,logistic_regression,historical_only,122616,954990,15574,0.12701441899915183,0.5,0.691010961049129,0.6355727577202077,0.21965070988817692,0.5612559393861564,0.7098895760542591,0.9174967701428381,0.31573624230164893,0.6842307168515113,0.24498526403165655,75988,31054,6833,8741,,,,,,164.936448097229,24.0,22.0,2.0,balanced,250.0,1.0,0.0
E1_main_2015_2025,test,majority_class,none,247590,954990,31570,0.12750918857789087,0.5,0.8724908114221092,0.5,0.0,0.0,1.0,0.8724908114221092,0.0,0.5,0.12750918857789087,216020,0,31570,0,0.0,0.1270233196159122,,,,,,,,,,,
