experiment_id,feature_set,model_name,train_rows,selected_feature_count,numeric_feature_count,categorical_feature_count,fit_seconds,model_path,feature_names_path
E1_main_2015_2025,historical_only,logistic_regression,300000,24,22,2,54.01012182235718,,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\baselines_target_week_sampled\logistic_feature_names_E1_main_2015_2025_historical_only.csv
E1_main_2015_2025,historical_calendar_weather,logistic_regression,300000,63,60,3,95.57468247413635,,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\baselines_target_week_sampled\logistic_feature_names_E1_main_2015_2025_historical_calendar_weather.csv
E1_main_2015_2025,full_without_covid_period_features,logistic_regression,300000,213,210,3,247.89906764030457,,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\baselines_target_week_sampled\logistic_feature_names_E1_main_2015_2025_full_without_covid_period_features.csv
